username,tanggal_ulasan,komentar,processed_komentar,Polarity Score,Sentimen
Nara Narwandaru,sebulan lalu,"Makanan di sini pasti tidak murah, cocok untuk keluarga, suasananya juga sangat melengkapi. Tapi secara keseluruhan, saya cukup kecewa dengan apa yang saya pesan. sebagian besar sausnya asin, bukan seleraku. Lain kali saya datang ke tempat …",makan murah cocok keluarga suasana lengkap kecewa pesan saus asin selera kali,8,Positif
Asep Perbed,sebulan lalu,"Maaf.,,,",maaf,-1,Negatif
DAVID ARYA RAMADHAN RAMADHAN,sebulan lalu,"paling the best sushi di Jogja fresh banget salmonnya sushi tei. tempatnya ada 3 lantai. Lantai 1 untuk dine in, lantai 2 ada tempat mushola bisa buat dine in juga. Parkiran mobil kurang luas tapi tenang ada petugasnya yang sigap, toilet …",the best sushi jogja fresh banget salmon sushi tei tempat lantai lantai dine in lantai mushola dine in parkir mobil luas tenang tugas sigap toilet,3,Positif
lia amilia,sebulan lalu,"Strategis dan services sangat baik, kualitas makanan sesuai standar sushi tei lainnya, sudah pasti enak",strategis services kualitas makan sesuai standar sushi tei enak,6,Positif
tiara shirline,sebulan lalu,Untuk kualitas makanan tidak perlu di ragukan lagi insyaAllah pasti fresh.. terutama shasimi dan sushinya,kualitas makan ragu insyaallah fresh shasimi sushinya,1,Positif
Sofyan Hadisuwarno,sebulan lalu,Pkace favorit untuk menikmati maguro dan udon pedas,pkace favorit nikmat maguro udon pedas,-1,Negatif
Irma Sari,2 bulan lalu,"Tempat nya sangat nyaman, pelayanan nya super mantullll🥰🥰 …",nya nyaman layan nya super mantullll,5,Positif
the prest,2 bulan lalu,"Salah satu tempat makan Sushi terbaik di yogyakarta yang jadi Favorite kami. Varian menu nya banyak, staff nya responsif, penyajiannya cepat, suasana didalam restaurant nya bikin nyaman, walaupun berada di tempat keramaian.. untuk parkir tidak terlalu menjadi masalah karena memiliki tempat parkir sendiri",salah makan sushi baik yogyakarta favorite varian menu nya staff nya responsif saji cepat suasana dalam restaurant nya bikin nyaman ramai parkir milik parkir,17,Positif
Abdul Adams,2 bulan lalu,"Kalau ada yg beli via ojol, tolong perhatikan notes ny pembeli.. kesel banget..",yg beli via ojol tolong perhati notes ny beli kesel banget,-7,Negatif
Agus Riyanto,2 bulan lalu,"Pelayanan prima, mulai staf keamanan dan restoran.",layan prima staf aman restoran,0,Netral
Dias Navara,2 bulan lalu,"salah satu resto sushi yang udah banyak orang tau nihh, pilihan menu nya fresh dan enak. tempat nya nyaman dan cocok buat kumpul makan bareng temen atau keluarga. dari pelayanan dan makanan semua nggak mengecewakan. ada pilihan menu untuk anak-anak juga. jadi dijamin sikecil bakal suka, apalagi pelayanan nya juga best banget.",salah resto sushi udah orang tau nihh pilih menu nya fresh enak nya nyaman cocok kumpul makan bareng temen keluarga layan makan nggak kecewa pilih menu anak anak jamin sikecil suka layan nya best banget,-19,Negatif
Gunawan Hadi Saputra,2 bulan lalu,Pelayanan tidak ramah.,layan ramah,2,Positif
Qori' A F,2 bulan lalu,"Berbeda dengan tempat lainnya, disini 1 gedung khusus untuk sushi tei saja. Ada 3 lantai, lantai 1 dan 2 untuk dine in. Untuk kualitas makanan, sashiminya segar, sushi fusion dan niku ramennya juga enak. Tersedia mushola juga di lantai 3. …",beda gedung khusus sushi tei lantai lantai dine in kualitas makan sashiminya segar sushi fusion niku ramennya enak sedia mushola lantai,9,Positif
Hallo Annisa,2 bulan lalu,Pertama kali makan sushi dan langsung jatuh cinta,kali makan sushi langsung jatuh cinta,3,Positif
Barnas Suprihanto,2 bulan lalu,Penanganan Staf yang Baik terutama kepada Ojol...,tangan staf ojol,1,Positif
widodo dripp,2 bulan lalu,Makanannya enak-enak. Cocok dengan selera.,makan enak enak cocok selera,6,Positif
siti fatonah,2 bulan lalu,Lumayan mahal... mengikuti selera anak,lumayan mahal ikut selera anak,-3,Negatif
edo,2 bulan lalu,"semalem kesana pas markir mobil aj tukamg parkirnya mlh yg said thankyou, pas lewat pos mau ke lokasi msh bungkuki badan n kepala sopan ramah baik bgt, pas selesai makan entah satpam n kang parkir jg bungkuk2 lg sopan banget said thanks lg, service good excelent waiter waitres greater n casir",semalem kesana pas markir mobil aj tukamg parkir mlh yg said thankyou pas pos lokasi msh bungkuk badan n kepala sopan ramah bgt pas selesai makan satpam n kang parkir jg bungkuk lg sopan banget said thanks lg service good excelent waiter waitres greater n casir,16,Positif
Master Aki,2 bulan lalu,Perfect banget,perfect banget,-1,Negatif
Dimas Saputro,2 bulan lalu,makanan enak!,makan enak,1,Positif
Kelly T,2 bulan lalu,Makanan tidak sesuai harapan dan harga tidak semurah yang diharapkan.,makan sesuai harap harga murah harap,7,Positif
Sulistyo Elita,2 bulan lalu,Salah satu resto sushi terbaik di jogja dengan menu yang fresh. Selain itu pelayanan sangat baik dan ramah. Namun area parkir tidak terlalu luas tapi ada petugas yang akan membantu.,salah resto sushi baik jogja menu fresh layan ramah area parkir luas tugas bantu,0,Netral
Nofathana Putra,3 bulan lalu,"Seperti biasa, hari ini pelayanan teman-teman sushi tei sangat memuaskan, cuma ada beberapa point yang perlu saya ulas, hari ini saya memesan tamagoyaki, dan telurnya terasa jauh lebih amis dari biasanya, mungkin teman-teman bisa sedikit …",layan teman teman sushi tei muas point ulas mes tamagoyaki telur amis teman teman,5,Positif
Lia Rahma Permata Sari,3 bulan lalu,Terbaik.. Shusi Tei Paling enak cabang gejayan di jogja. Lebih baik dari cabang kemvil dan pim di jaksel.,baik shusi tei enak cabang gejayan jogja cabang kemvil pim jaksel,3,Positif
Pratomo Andiwp,3 bulan lalu,"Anyway sushi salmonnya enak as always, lembut, kaya berlemak, agak plain.
Sushi tuna nya kurang banget sih, ga tau kaya kurang fresh aja.
Hari ini servicenya lama bgt, meja sebelah sampai komplain dan yg lain agak keganggu, bisa 40-50 menitan baru di serve. Washabinya lagi kurang rasanya.",anyway sushi salmon enak as always lembut kaya lemak plain sushi tuna nya banget sih ga tau kaya fresh aja servicenya bgt meja belah komplain yg ganggu menit serve washabinya,-14,Negatif
Tommy Sudrajat,3 bulan lalu,Makanan enak dan tempatnya nyaman.,makan enak tempat nyaman,2,Positif
Atread Maelasari,3 bulan lalu,Dari hamil & punya baby bm bgt sutei tp gabisa keluar rumah akhirnya selalu delivery tp so far service memuaskan krn selalu di baca notes dan untuk sushi & salad selalu fresh dan enak 💓 …,hamil baby bm bgt sutei tp gabisa rumah delivery tp so far service muas krn baca notes sushi salad fresh enak,6,Positif
Mayada Rakhmima,3 bulan lalu,"Pelayanan cepat, makanan enak, pelayan ramah, tapi ruangan rada gelap.",layan cepat makan enak layan ramah ruang rada gelap,-4,Negatif
anggia yuniar,3 bulan lalu,"makanan dan minuman selalu fresh, pelayanan baik & ramah, tempat bersih",makan minum fresh layan ramah bersih,-3,Negatif
Online Online,3 bulan lalu,"Tidak menghargai driver Online , hrs nya wakil saya sbagai Cs di tptkn yg baik juga tdk di luar panas2.",harga driver online hrs nya wakil sbagai cs tptkn yg tdk panas,4,Positif
Za nana,3 bulan lalu,"Tempat yang nyaman untuk makan bersama keluarga dan sahabat , makanan yang disajikan juga fresh semua, promo promonya juga selalu menarik🥰🥰 …",nyaman makan keluarga sahabat makan saji fresh promo promonya tarik,12,Positif
Bernadetha Nindy,3 bulan lalu,kerja bagus tim sushitei,kerja bagus tim sushitei,-4,Negatif
Khubaib Adi,3 bulan lalu,"Surprisingly the dessert was good! Saya membeli milk roll cake dan manisnya pas, creamnya tidak enek, dan cakenya lembut.",surprisingly the dessert was good beli milk roll cake manis pas creamnya enek cakenya lembut,6,Positif
Riri Wira,3 bulan lalu,Endulita,endulita,0,Netral
Sigit Imam Sutaji,3 bulan lalu,Karyawan tidak profesional,karyawan profesional,3,Positif
christina,3 bulan lalu,"Pelayanannya ga seperti sushi tei kebanyakan di kota lain yg ramah. Pelayanannya ga ramah, susah minta refil air atau tanuki. Bicaranya tidak ramah.",layan ga sushi tei banyak kota yg ramah layan ga ramah susah refil air tanuki bicara ramah,1,Positif
Audrey Alifah,3 bulan lalu,paling aman kalau mau sushi stop by tapi bingung dimana,aman sushi stop by bingung mana,0,Netral
Kevin Tobing,3 bulan lalu,seperti sushi tei pada umumnya. yg cukup berkesan adalah satpam yg sangat ramah,sushi tei yg kesan satpam yg ramah,2,Positif
Muhammad Naufal Fariza,3 bulan lalu,"Selalu memberikan suasana yg nyaman untuk setiap occasion, terutama makan santai sama temen2 kantor. Tempatnya nyaman, adem, luas. Bikin nyaman buat makan sambil ngobrol santai. Makanannya jelas enak2, blm pernah rasain ada yg ga enak. Pelayanannya juga sip, cuman pernah 1x waiter lupa input item.",suasana yg nyaman occasion makan santai temen kantor tempat nyaman adem luas bikin nyaman makan ngobrol santai makan enak blm rasain yg ga enak layan sip cuman x waiter lupa input item,14,Positif
Ryan Chandra,4 bulan lalu,"Ada smooking room, petugasnya ramah2. Waiting time penyajian menu nya juga cepet ga nunggu lama jadinya.",smooking room tugas ramah waiting time saji menu nya cepet ga nunggu,8,Positif
nona zesifa,4 bulan lalu,🌷Good service good quality! Tetap jaga kekompakan kalian ya team! Mulai dari satpam sampai waitress dan masuk ke dalam juga service nya juara! terima kasih sudah membuat mood saya jadi bagus hihi …,good service good quality jaga kompak ya team satpam waitress masuk service nya juara terima kasih mood bagus hihi,14,Positif
tiwi Widiarti,4 bulan lalu,"yeay...setiap kesini, kalo ada yang ultah trus di surprise in ama sushi tei, diberi sushi, ada lilin n garnish ..
asyiik punya deh...",yeay kesini kalo ultah trus surprise in ama sushi tei sushi lilin n garnish asyiik deh,0,Netral
Ayu Sharietta,4 bulan lalu,"sejauh ini Sushi Tei merupakan resto sushi yang paling baik di Jogja dan sudah bersertifikat halal. ikan dan bahan yang digunakan fresh dengan plating yang sederhana namun menarik. oh iya, biasanya di bulan ke-11 atau ke-12 menyediakan event all you can eat dengan harga kurang lebih 150.000.",sushi tei resto sushi jogja sertifikat halal ikan bahan fresh plating sederhana tarik oh iya sedia event all you can eat harga,0,Netral
Nuri Jogja,4 bulan lalu,"Kualitas rasa sama dlm bbrp tahun ini. Harga sesuai. Pelayanan baik, standard sushi tei. Buka outlet di Ambarukmo plaza. Banyak promonya.",kualitas dlm bbrp harga sesuai layan standard sushi tei buka outlet ambarukmo plaza promonya,10,Positif
Vania Berliana,4 bulan lalu,harga sesuai kualitas. bisa sering diadakan promo supaya ramai.,harga sesuai kualitas ada promo ramai,12,Positif
Yusron Iroiq,4 bulan lalu,Mewah bagus tempatnya....,mewah bagus tempat,-5,Negatif
borris budianta,4 bulan lalu,"ruang tunggu puanas , suwi nemen sek nunggu",ruang tunggu puanas suwi nemen sek nunggu,-3,Negatif
S karin,4 bulan lalu,"Pertama kali nyobain sushi tei. Untuk pelayanannya oke banget, tempatnya juga menyediakan cukup banyak spot duduk. Untuk sushinya enak, tapi ternyata bukan yang spesial banget. Iseng2 nyobain takoyakinya tapi ternyata kurang cocok di lidah …",kali nyobain sushi tei layan oke banget tempat sedia spot duduk sushinya enak spesial banget iseng nyobain takoyakinya cocok lidah,2,Positif
Faza R,4 bulan lalu,"Tempat makanan terfavorit banget kalo mau cari sushi enak, lengkap, affordable, dan dengan nuansa tenpat makan yang nyaman, luas, dingin. Intinya rekommended bangett 🫶🏻🫶🏻🫶🏻 …",makan favorit banget kalo cari sushi enak lengkap affordable nuansa tenpat makan nyaman luas dingin inti rekommended bangett,5,Positif
Shofiy Zulfah,4 bulan lalu,"Saya selalu update dengan promo yang tersedia. Sushi Tei Selalu jadi resto yang dituju setiap ke Amplaz Yogyakarta karena pilihan menu yang banyak, sangat lezat dan healthy. My All time favorite",update promo sedia sushi tei resto tuju amplaz yogyakarta pilih menu lezat healthy my all time favorite,11,Positif
Yoana Marlinka,4 bulan lalu,"Makanan gak usah diragukan lgi, pasti enak dan freshnyaa..suasanya jg oke, pelayanan jg ramah dan cepett tempatnya jg enaak sih nyaman 💯😊 …",makan gak ragu lgi enak freshnyaa suasa jg oke layan jg ramah cepett tempat jg enaak sih nyaman,3,Positif
Anis Nur Aini,5 bulan lalu,"Selalu menjadi pilihan utama saya untuk memuaskan hasrat sushi, terutama di Jogja di mana restoran Jepang terbatas. Saya menyukai suasana dan staf yang rendah hati, belum lagi kesegaran yang selalu mereka pertahankan. Pada kunjungan …",pilih utama muas hasrat sushi jogja restoran jepang batas suka suasana staf rendah hati segar tahan kunjung,0,Netral
Fidella Kristofani Tarigan,5 bulan lalu,"Untuk servicenya sangat baik dan membantu banget kalau kita bingung milih menunyaa, tempat nyaa juga nyaman",servicenya bantu banget bingung milih menunyaa nyaa nyaman,0,Netral
Codong 123,5 bulan lalu,Untuk ojol dilarang duduk didalam wajib diluar,ojol larang duduk dalam wajib luar,-2,Negatif
004_WA ODE SITTI RAHELDA,5 bulan lalu,Salmon teriyaki don terenak,salmon teriyaki don enak,1,Positif
Yohana Mega,5 bulan lalu,enak e rekkk,enak e rekkk,1,Positif
Frissie Dhitta,5 bulan lalu,"Kalau Sushi tei rasanya sih udah pasti enak ya..

Sushi tei yang disini ambience nya mewah banget, tempat nya nyaman, pelayanannya cepat dan ramah, toiletnya bersih.",sushi tei sih udah enak ya sushi tei ambience nya mewah banget nya nyaman layan cepat ramah toilet bersih,10,Positif
linsky,5 bulan lalu,"reservasi dari siang untuk jam 18.30 tapi waktu datang on time, tempat yang direserve malah dipakai orang lain dan pihak resto tidak bersikap tegas. kalo gitu ngapain ngasih opsi untuk reservasi, padahal sengaja reservasi di sushi tei untuk merayakan ulang tahun. bikin rusak acara orang aja",reservasi siang jam on time reserve pakai orang resto sikap kalo gitu ngapain ngasih opsi reservasi sengaja reservasi sushi tei raya ulang bikin rusak acara orang aja,1,Positif
Diananta Pramitasari,5 bulan lalu,"Sushi Tei Jalan Afandi Yogya tidak mampu menjaga komitmen reservasi. Percuma saja melakukan reservasi sangat awal dan diOKkan oleh pihak Sushi Tei, namun ketika kami sekeluarga datang sesuai waktu, tempat reservasi kami justru digunakan …",sushi tei jalan afandi yogya jaga komitmen reservasi reservasi diokkan sushi tei keluarga sesuai reservasi,3,Positif
Agung Harijoko,5 bulan lalu,Rumah makan ini tidak bisa menjaga janji reservasi walaupun pengunjung sedang tidak penuh.,rumah makan jaga janji reservasi unjung penuh,2,Positif
Wahyu Kus Ardyono,5 bulan lalu,"Masih sushi terbaik di kota
Terutama Salmon mentai, negitoro maki goreng.
Harga sedikit lebih mahal 😞 …",sushi baik kota salmon mentai negitoro maki goreng harga mahal,-1,Negatif
Adi Junior,5 bulan lalu,"Sama sama beli tapi nunggu nya suruh di luar, sebersih apa sih restomu!",beli nunggu nya suruh bersih sih restomu,-2,Negatif
Inanta Nofi Aryanti,5 bulan lalu,"Enak seperti shusi tei pada umumnya, tapi minumannya agak lama datangnya.",enak shusi tei minum datang,-4,Negatif
Jason Krpan,5 bulan lalu,Sangat bagus. Sangat sangat bagus. Saran saya: datanglah 15 menit lebih awal dari yang direncanakan karena menunya sangat banyak!  :),bagus bagus saran datang menit rencana menu,-9,Negatif
Arthur Kemal,5 bulan lalu,Suka salah kalo di Grab 😁😁😁🤡🤡🤡 …,suka salah kalo grab,-2,Negatif
Rimba Semeru,5 bulan lalu,pelayanan prima,layan prima,4,Positif
Yance Ertanto,5 bulan lalu,Luuuaaar biasa,luuuaaar,0,Netral
mariaa,5 bulan lalu,"Rasa enakkk ,tempat nyaman bersih...
pelayanan ramah :')
Cocok buat pergi makan sama ayaankk 😍 …",enakkk nyaman bersih layan ramah cocok pergi makan ayaankk,5,Positif
jun serayu,5 bulan lalu,Nyaris sempurna... Mantap...,sempurna mantap,5,Positif
Fadhl Haqq,5 bulan lalu,"Rasanya kurang fresh, Gyuniku rollnya super alot. Ramen Grilled Chicken nya kurang, ayamnya tidak berasa di grill. Salmon Skin Rollnya alot juga. Nggak fresh.",fresh gyuniku rollnya super alot ramen grilled chicken nya ayam asa grill salmon skin rollnya alot nggak fresh,1,Positif
opi anggoro,5 bulan lalu,Sushi terbaik yang pernah saya coba..,sushi baik coba,3,Positif
Reza,5 bulan lalu,"Tempatnya bagus, nyaman, makanannya enak",tempat bagus nyaman makan enak,0,Netral
Inge yunny astuti,5 bulan lalu,"Terima kasih pelayanan yang sangat baik, tempat makan yang suasananya menyenangkan dan makanan yang enak, selalu ada variasi makanan yang baru dan respon terhadap komplain yang sangat baik..",terima kasih layan makan suasana senang makan enak variasi makan respon komplain,11,Positif
Yogi Yustiana,5 bulan lalu,Sushi & salad salmonnya enak banget. Pake banget pokoknya. Pelayanan sat set & ramah. Tempat bersih. Kalo ke Jogja selalu mampir.,sushi salad salmon enak banget pake banget pokok layan sat set ramah bersih kalo jogja mampir,0,Netral
heri susanto,5 bulan lalu,"Bagus, enak",bagus enak,-1,Negatif
Eduardo P,6 bulan lalu,"Pencahayaannya agak terlalu redup, tapi makanannya cukup enak. Sejujurnya saya terkejut betapa berbedanya kualitas daging sapi di cabang Bali dan di Jogja. Di Jogja daging sapinya terasa jauh lebih enak dibandingkan di Bali.",cahaya redup makan enak jujur kejut betapa beda kualitas daging sapi cabang bal jogja jogja daging sapi enak banding bal,2,Positif
Nicko Bayu,6 bulan lalu,"Saya mendapat timbangan di mu sashimi. perut salmon yang tidak terlalu segar. dan mereka baru saja memotong tagihan saya yang setara dengan 2 harga sashimi? teman? atas pengalaman buruk yang kamu berikan padaku? aw deae, saya masih bisa membayar penuh. pengalaman? nahh. selalu periksa menumu ya",timbang mu sashimi perut salmon segar potong tagih tara harga sashimi teman alam buruk pada aw deae bayar penuh alam nahh periksa menu ya,-2,Negatif
Andri Chandrawira,6 bulan lalu,Saya sdh mulai bosan makan disini...,sdh bosan makan,0,Netral
agstin 30,6 bulan lalu,"Rasanya enak tempat nyaman pelayanan ramah sekali 🥰
Bonus birthday cake 😁 …",enak nyaman layan ramah bonus birthday cake,12,Positif
Kemala Hayati,6 bulan lalu,"Sushi terenak di Jogja, pelayanan dan fasilitas paling bagus.",sushi enak jogja layan fasilitas bagus,-3,Negatif
filomena tunjung (bibikriuk),6 bulan lalu,Sushi tei adalah pilihan teraman untuk mencoba makanan Jepang bagi orang tua atau semua orang yang belum pernah mencoba makanan Jepang sebelumnya. …,sushi tei pilih ram coba makan jepang orang tua orang coba makan jepang,-4,Negatif
J Pamungkas,6 bulan lalu,Tempat strategis suasana nyaman untuk anak anak dan menyediakan jalan bagi pengguna kursi roda,strategis suasana nyaman anak anak sedia jalan guna kursi roda,0,Netral
Adi Prakosa,6 bulan lalu,"Minusy cuma tempat parkir terbatas, walau bisa dibantu utk parkir di seberang.",minusy parkir batas bantu utk parkir seberang,-5,Negatif
Hara_Mano,6 bulan lalu,Sushi Tei dikenal sebagai rantai restoran sushi yang menawarkan beragam hidangan sushi dan masakan Jepang lainnya dengan kualitas yang baik. Banyak pelanggan menghargai variasi menu yang luas dan suasana yang nyaman di restoran tersebut. …,sushi tei kenal rantai restoran sushi tawar agam hidang sushi masakan jepang kualitas langgan harga variasi menu luas suasana nyaman restoran,16,Positif
Tarista Sutanti,6 bulan lalu,"Kunjungan saya ke Sushi Tei sungguh memuaskan! Dengan harga promo sebesar 125/pack, saya menemukan bahwa nilai yang saya dapatkan sangat sepadan. Porsi sushi yang disajikan sangatlah besar dan segar, dengan variasi menu yang cukup beragam. …",kunjung sushi tei sungguh muas harga promo pack temu nilai dapat padan porsi sushi saji segar variasi menu agam,38,Positif
Arai Arai,6 bulan lalu,Selalu enak,enak,1,Positif
Ir4 Wbw,6 bulan lalu,segar,segar,4,Positif
Margareta Anindias,6 bulan lalu,AC-nya agak panas di belakang huhuuu.. tapi kalau dirasa kepanasan tanya lagi,ac nya panas huhuuu rasa panas,0,Netral
Nadia Muna Salma,6 bulan lalu,"Pelayanannya ramah banget, pesenannya jugaa cukup cepet datengnya, rasa makanannya jelas enak sih. Tempatnya cocok buat ramean atau sendiri jg masih oke.",layan ramah banget sen jugaa cepet datengnya makan enak sih tempat cocok ramean jg oke,4,Positif
Vonny Candra,6 bulan lalu,"Shishamo karage nya ngga enak, pait dan ikan yang agak gemuk malah tulang tengah nya agak keras. Warna punggung ikan shishamo nya HITAM, bukan yang cerah. Kalo menu yang lainnya enak. 🍣🥢 …",shishamo karage nya ngga enak pait ikan gemuk tulang nya keras warna punggung ikan shishamo nya hitam cerah kalo menu enak,-13,Negatif
Eddy Christianto,6 bulan lalu,Shushi nya uenaak mendekati rasa yg asli......Jepang,shushi nya uenaak dekat yg asli jepang,-1,Negatif
Ela Septin,6 bulan lalu,"Menunya enak-enak. Pelayanannya cekatan sat set dan ramah-ramah , suasana restonya juga nyaman, kami sekeluarga terbilang lumayan sering makan malam ke sini",menu enak enak layan cekat sat set ramah ramah suasana restonya nyaman keluarga bilang lumayan makan malam,11,Positif
Resty Leny,6 bulan lalu,Tempat nyaman . Sushi selalu segar dan paling aku suka pasti shasiminya 🥰 …,nyaman sushi segar suka shasiminya,10,Positif
Langgeng Arie,6 bulan lalu,Tempat nyaman ...makanan enak,nyaman makan enak,5,Positif
Jia,7 bulan lalu,"Belum nemu sushi enak di Jogja selain Sutei. Biasa kalau pengen banget kesana, kalau masih bisa ditahan pasti nunggu promo sih heheheh. Sering-sering promo ya pak bu owner 🙏 …",nemu sushi enak jogja sutei ken banget kesana tahan nunggu promo sih heheheh promo ya bu owner,9,Positif
Ferina Effendi (Ferina Wirawan),7 bulan lalu,"Sushi tei pertama di Jogja, parkir luas, pelayanan ramah, security juga sigap membantu. Luas, ada 2/3 lantai. Kualitas makanan baik, lumayan sering promo.",sushi tei jogja parkir luas layan ramah security sigap bantu luas lantai kualitas makan lumayan promo,15,Positif
Jeff Paulm,7 bulan lalu,Tempat yang bagus untuk sushi dan sashimi,bagus sushi sashimi,-2,Negatif
Yetri Kt,7 bulan lalu,Memuaskan,muas,5,Positif
Al Fakir,7 bulan lalu,Tempat makanan Jepang yg nyaman dengan pelayanan yg baik.,makan jepang yg nyaman layan yg,4,Positif
James Embongbulan,7 bulan lalu,Anak-anak menikmati sushi,anak anak nikmat sushi,-3,Negatif
kartika usmanali,7 bulan lalu,Ikannya kurang segar,ikan segar,4,Positif
sukidah amd,7 bulan lalu,Semua makanannya enaaaakkkk.... Sesuai dengan harga yang harus dibayarkan,makan enaaaakkkk sesuai harga bayar,4,Positif
Karissa Hnv,7 bulan lalu,Baked salmon di sini beda bgt m yg d amplaz.udh berulang kali pesen yg d sni slalu beda.kurg padet .gak rapih .jauh sama yg d amplaz.rasa pun beda pdhl satu cabang kan ya.g ngerti knp beda rasa.sedihbbgt..untuk tempat oke tpi untuk makanan kurg oke.bisa d liat sushi tei amplaz sangat perfect 😭❤️ …,baked salmon beda bgt m yg d amplaz udh ulang kali sen yg d sni slalu beda kurg padet gak rapih yg d amplaz beda pdhl cabang ya g ngerti knp beda sedihbbgt oke tpi makan kurg oke d liat sushi tei amplaz perfect,1,Positif
Mirna,7 bulan lalu,"Yaa tidak perlu di tanya lg yaa soal pelayanan disni. Security pun peduli dan meminta maaf jika salah.. Salutt sih management disini.
Semua nya ramah dan satset. …",yaa lg yaa layan disni security peduli maaf salah salutt sih management nya ramah satset,0,Netral
