username,tanggal_ulasan,komentar
Nurul Afina,sebulan lalu,"Best place to eat your sushi with or without your friend

Tempat yang nyaman dan pelayanannya superrr duper ramah dan helpful banget!"
Nara Narwandaru,sebulan lalu,"Makanan di sini pasti tidak murah, cocok untuk keluarga, suasananya juga sangat melengkapi. Tapi secara keseluruhan, saya cukup kecewa dengan apa yang saya pesan. sebagian besar sausnya asin, bukan seleraku. Lain kali saya datang ke tempat …"
Asep Perbed,sebulan lalu,"Maaf.,,,"
DAVID ARYA RAMADHAN RAMADHAN,sebulan lalu,"paling the best sushi di Jogja fresh banget salmonnya sushi tei. tempatnya ada 3 lantai. Lantai 1 untuk dine in, lantai 2 ada tempat mushola bisa buat dine in juga. Parkiran mobil kurang luas tapi tenang ada petugasnya yang sigap, toilet …"
lia amilia,sebulan lalu,"Strategis dan services sangat baik, kualitas makanan sesuai standar sushi tei lainnya, sudah pasti enak"
tiara shirline,sebulan lalu,Untuk kualitas makanan tidak perlu di ragukan lagi insyaAllah pasti fresh.. terutama shasimi dan sushinya
Sofyan Hadisuwarno,sebulan lalu,Pkace favorit untuk menikmati maguro dan udon pedas
Irma Sari,2 bulan lalu,"Tempat nya sangat nyaman, pelayanan nya super mantullll🥰🥰 …"
the prest,2 bulan lalu,"Salah satu tempat makan Sushi terbaik di yogyakarta yang jadi Favorite kami. Varian menu nya banyak, staff nya responsif, penyajiannya cepat, suasana didalam restaurant nya bikin nyaman, walaupun berada di tempat keramaian.. untuk parkir tidak terlalu menjadi masalah karena memiliki tempat parkir sendiri"
Abdul Adams,2 bulan lalu,"Kalau ada yg beli via ojol, tolong perhatikan notes ny pembeli.. kesel banget.."
Agus Riyanto,2 bulan lalu,"Pelayanan prima, mulai staf keamanan dan restoran."
Dias Navara,2 bulan lalu,"salah satu resto sushi yang udah banyak orang tau nihh, pilihan menu nya fresh dan enak. tempat nya nyaman dan cocok buat kumpul makan bareng temen atau keluarga. dari pelayanan dan makanan semua nggak mengecewakan. ada pilihan menu untuk anak-anak juga. jadi dijamin sikecil bakal suka, apalagi pelayanan nya juga best banget."
Putri Agus Sania,2 bulan lalu,
Gunawan Hadi Saputra,2 bulan lalu,Pelayanan tidak ramah.
Qori' A F,2 bulan lalu,"Berbeda dengan tempat lainnya, disini 1 gedung khusus untuk sushi tei saja. Ada 3 lantai, lantai 1 dan 2 untuk dine in. Untuk kualitas makanan, sashiminya segar, sushi fusion dan niku ramennya juga enak. Tersedia mushola juga di lantai 3. …"
Stephani Fani,2 bulan lalu,
Hallo Annisa,2 bulan lalu,Pertama kali makan sushi dan langsung jatuh cinta
Barnas Suprihanto,2 bulan lalu,Penanganan Staf yang Baik terutama kepada Ojol...
aviv d kuntoro,2 bulan lalu,
widodo dripp,2 bulan lalu,Makanannya enak-enak. Cocok dengan selera.
siti fatonah,2 bulan lalu,Lumayan mahal... mengikuti selera anak
edo,2 bulan lalu,"semalem kesana pas markir mobil aj tukamg parkirnya mlh yg said thankyou, pas lewat pos mau ke lokasi msh bungkuki badan n kepala sopan ramah baik bgt, pas selesai makan entah satpam n kang parkir jg bungkuk2 lg sopan banget said thanks lg, service good excelent waiter waitres greater n casir"
Master Aki,2 bulan lalu,Perfect banget
Ari Bowo,2 bulan lalu,
Septian Ridho,2 bulan lalu,
Dimas Saputro,2 bulan lalu,makanan enak!
Septiana Danu Anggamukti,2 bulan lalu,
Ajeng Desi,2 bulan lalu,
Kelly T,2 bulan lalu,Makanan tidak sesuai harapan dan harga tidak semurah yang diharapkan.
Ponti Arnanto,2 bulan lalu,
Sulistyo Elita,2 bulan lalu,Salah satu resto sushi terbaik di jogja dengan menu yang fresh. Selain itu pelayanan sangat baik dan ramah. Namun area parkir tidak terlalu luas tapi ada petugas yang akan membantu.
Nofathana Putra,3 bulan lalu,"Seperti biasa, hari ini pelayanan teman-teman sushi tei sangat memuaskan, cuma ada beberapa point yang perlu saya ulas, hari ini saya memesan tamagoyaki, dan telurnya terasa jauh lebih amis dari biasanya, mungkin teman-teman bisa sedikit …"
Lia Rahma Permata Sari,3 bulan lalu,Terbaik.. Shusi Tei Paling enak cabang gejayan di jogja. Lebih baik dari cabang kemvil dan pim di jaksel.
Edward Lou,3 bulan lalu,
Samya Emons,3 bulan lalu,
Clara Nova Prawita,3 bulan lalu,
Pratomo Andiwp,3 bulan lalu,"Anyway sushi salmonnya enak as always, lembut, kaya berlemak, agak plain.
Sushi tuna nya kurang banget sih, ga tau kaya kurang fresh aja.
Hari ini servicenya lama bgt, meja sebelah sampai komplain dan yg lain agak keganggu, bisa 40-50 menitan baru di serve. Washabinya lagi kurang rasanya."
Tommy Sudrajat,3 bulan lalu,Makanan enak dan tempatnya nyaman.
Dina Liyvia Maulina,3 bulan lalu,
Atread Maelasari,3 bulan lalu,Dari hamil & punya baby bm bgt sutei tp gabisa keluar rumah akhirnya selalu delivery tp so far service memuaskan krn selalu di baca notes dan untuk sushi & salad selalu fresh dan enak 💓 …
Nova Utomo,3 bulan lalu,
Mayada Rakhmima,3 bulan lalu,"Pelayanan cepat, makanan enak, pelayan ramah, tapi ruangan rada gelap."
anggia yuniar,3 bulan lalu,"makanan dan minuman selalu fresh, pelayanan baik & ramah, tempat bersih"
Online Online,3 bulan lalu,"Tidak menghargai driver Online , hrs nya wakil saya sbagai Cs di tptkn yg baik juga tdk di luar panas2."
Fico Keren,3 bulan lalu,
Nina Indra,3 bulan lalu,
Za nana,3 bulan lalu,"Tempat yang nyaman untuk makan bersama keluarga dan sahabat , makanan yang disajikan juga fresh semua, promo promonya juga selalu menarik🥰🥰 …"
Bernadetha Nindy,3 bulan lalu,kerja bagus tim sushitei
Khubaib Adi,3 bulan lalu,"Surprisingly the dessert was good! Saya membeli milk roll cake dan manisnya pas, creamnya tidak enek, dan cakenya lembut."
Riri Wira,3 bulan lalu,Endulita
Sigit Imam Sutaji,3 bulan lalu,Karyawan tidak profesional
nei saku,3 bulan lalu,
Eva Kenzo87,3 bulan lalu,
christina,3 bulan lalu,"Pelayanannya ga seperti sushi tei kebanyakan di kota lain yg ramah. Pelayanannya ga ramah, susah minta refil air atau tanuki. Bicaranya tidak ramah."
Nugroho Fuad Rifai,3 bulan lalu,
Audrey Alifah,3 bulan lalu,paling aman kalau mau sushi stop by tapi bingung dimana
Rousdy Julian,3 bulan lalu,
Kevin Tobing,3 bulan lalu,seperti sushi tei pada umumnya. yg cukup berkesan adalah satpam yg sangat ramah
Muhammad Naufal Fariza,3 bulan lalu,"Selalu memberikan suasana yg nyaman untuk setiap occasion, terutama makan santai sama temen2 kantor. Tempatnya nyaman, adem, luas. Bikin nyaman buat makan sambil ngobrol santai. Makanannya jelas enak2, blm pernah rasain ada yg ga enak. Pelayanannya juga sip, cuman pernah 1x waiter lupa input item."
Ade Rannochia,3 bulan lalu,
Febrianto Amri Ristadi,3 bulan lalu,
Disty Ghalda,4 bulan lalu,
Ryan Chandra,4 bulan lalu,"Ada smooking room, petugasnya ramah2. Waiting time penyajian menu nya juga cepet ga nunggu lama jadinya."
nata han,4 bulan lalu,
Ivan Harsa,4 bulan lalu,
Andhika Reza,4 bulan lalu,
nona zesifa,4 bulan lalu,🌷Good service good quality! Tetap jaga kekompakan kalian ya team! Mulai dari satpam sampai waitress dan masuk ke dalam juga service nya juara! terima kasih sudah membuat mood saya jadi bagus hihi …
Malinda Aspariani,4 bulan lalu,
tiwi Widiarti,4 bulan lalu,"yeay...setiap kesini, kalo ada yang ultah trus di surprise in ama sushi tei, diberi sushi, ada lilin n garnish ..
asyiik punya deh..."
Ayu Putri anggraeni,4 bulan lalu,
Ayu Sharietta,4 bulan lalu,"sejauh ini Sushi Tei merupakan resto sushi yang paling baik di Jogja dan sudah bersertifikat halal. ikan dan bahan yang digunakan fresh dengan plating yang sederhana namun menarik. oh iya, biasanya di bulan ke-11 atau ke-12 menyediakan event all you can eat dengan harga kurang lebih 150.000."
android one,4 bulan lalu,
Raymond Synarso,4 bulan lalu,
29.sasmita setty,4 bulan lalu,
Moms Baby,4 bulan lalu,
Kamal Ardiawan,4 bulan lalu,
Nuri Jogja,4 bulan lalu,"Kualitas rasa sama dlm bbrp tahun ini. Harga sesuai. Pelayanan baik, standard sushi tei. Buka outlet di Ambarukmo plaza. Banyak promonya."
Vania Berliana,4 bulan lalu,
Vania Berliana,4 bulan lalu,harga sesuai kualitas. bisa sering diadakan promo supaya ramai.
Anton Supri,4 bulan lalu,
Heni indrawati Indrawati,4 bulan lalu,
Rafika Mila Amanah,4 bulan lalu,
Yusron Iroiq,4 bulan lalu,Mewah bagus tempatnya....
borris budianta,4 bulan lalu,"ruang tunggu puanas , suwi nemen sek nunggu"
S karin,4 bulan lalu,"Pertama kali nyobain sushi tei. Untuk pelayanannya oke banget, tempatnya juga menyediakan cukup banyak spot duduk. Untuk sushinya enak, tapi ternyata bukan yang spesial banget. Iseng2 nyobain takoyakinya tapi ternyata kurang cocok di lidah …"
Faza R,4 bulan lalu,"Tempat makanan terfavorit banget kalo mau cari sushi enak, lengkap, affordable, dan dengan nuansa tenpat makan yang nyaman, luas, dingin. Intinya rekommended bangett 🫶🏻🫶🏻🫶🏻 …"
Shofiy Zulfah,4 bulan lalu,"Saya selalu update dengan promo yang tersedia. Sushi Tei Selalu jadi resto yang dituju setiap ke Amplaz Yogyakarta karena pilihan menu yang banyak, sangat lezat dan healthy. My All time favorite"
Marsdha Pramaisella Singal,4 bulan lalu,
bambang haen,4 bulan lalu,
Yoana Marlinka,4 bulan lalu,"Makanan gak usah diragukan lgi, pasti enak dan freshnyaa..suasanya jg oke, pelayanan jg ramah dan cepett tempatnya jg enaak sih nyaman 💯😊 …"
Anis Nur Aini,5 bulan lalu,"Selalu menjadi pilihan utama saya untuk memuaskan hasrat sushi, terutama di Jogja di mana restoran Jepang terbatas. Saya menyukai suasana dan staf yang rendah hati, belum lagi kesegaran yang selalu mereka pertahankan. Pada kunjungan …"
Fidella Kristofani Tarigan,5 bulan lalu,"Untuk servicenya sangat baik dan membantu banget kalau kita bingung milih menunyaa, tempat nyaa juga nyaman"
Codong 123,5 bulan lalu,Untuk ojol dilarang duduk didalam wajib diluar
Yunita Sari,5 bulan lalu,
chandra kurniawan,5 bulan lalu,
Like Hartoyo,5 bulan lalu,
004_WA ODE SITTI RAHELDA,5 bulan lalu,Salmon teriyaki don terenak
Jayari Putra,5 bulan lalu,
Yohana Mega,5 bulan lalu,enak e rekkk
Frissie Dhitta,5 bulan lalu,"Kalau Sushi tei rasanya sih udah pasti enak ya..

Sushi tei yang disini ambience nya mewah banget, tempat nya nyaman, pelayanannya cepat dan ramah, toiletnya bersih."
Cyntia Marom,5 bulan lalu,
linsky,5 bulan lalu,"reservasi dari siang untuk jam 18.30 tapi waktu datang on time, tempat yang direserve malah dipakai orang lain dan pihak resto tidak bersikap tegas. kalo gitu ngapain ngasih opsi untuk reservasi, padahal sengaja reservasi di sushi tei untuk merayakan ulang tahun. bikin rusak acara orang aja"
Ricky Richmond,5 bulan lalu,
Diananta Pramitasari,5 bulan lalu,"Sushi Tei Jalan Afandi Yogya tidak mampu menjaga komitmen reservasi. Percuma saja melakukan reservasi sangat awal dan diOKkan oleh pihak Sushi Tei, namun ketika kami sekeluarga datang sesuai waktu, tempat reservasi kami justru digunakan …"
Agung Harijoko,5 bulan lalu,Rumah makan ini tidak bisa menjaga janji reservasi walaupun pengunjung sedang tidak penuh.
Axxio Emeraldi,5 bulan lalu,
ihsan adi,5 bulan lalu,
Wahyu Kus Ardyono,5 bulan lalu,"Masih sushi terbaik di kota
Terutama Salmon mentai, negitoro maki goreng.
Harga sedikit lebih mahal 😞 …"
Adi Junior,5 bulan lalu,"Sama sama beli tapi nunggu nya suruh di luar, sebersih apa sih restomu!"
Meru Heriawan,5 bulan lalu,
Citra Dravha,5 bulan lalu,
Inanta Nofi Aryanti,5 bulan lalu,"Enak seperti shusi tei pada umumnya, tapi minumannya agak lama datangnya."
Ilham Nur Hidayat,5 bulan lalu,
Jason Krpan,5 bulan lalu,Sangat bagus. Sangat sangat bagus. Saran saya: datanglah 15 menit lebih awal dari yang direncanakan karena menunya sangat banyak!  :)
Nana Diyana,5 bulan lalu,
MadZZZ Febrianto,5 bulan lalu,
Abram Axel,5 bulan lalu,
BayPtr,5 bulan lalu,
Vitri Juniati,5 bulan lalu,
Arthur Kemal,5 bulan lalu,Suka salah kalo di Grab 😁😁😁🤡🤡🤡 …
Rimba Semeru,5 bulan lalu,pelayanan prima
Nawaf Thalib,5 bulan lalu,
Lingga Seledri,5 bulan lalu,
Yance Ertanto,5 bulan lalu,Luuuaaar biasa
Lelu Dina Apristia,5 bulan lalu,
mariaa,5 bulan lalu,"Rasa enakkk ,tempat nyaman bersih...
pelayanan ramah :')
Cocok buat pergi makan sama ayaankk 😍 …"
jun serayu,5 bulan lalu,Nyaris sempurna... Mantap...
Fadhl Haqq,5 bulan lalu,"Rasanya kurang fresh, Gyuniku rollnya super alot. Ramen Grilled Chicken nya kurang, ayamnya tidak berasa di grill. Salmon Skin Rollnya alot juga. Nggak fresh."
Markobeb,5 bulan lalu,
opi anggoro,5 bulan lalu,Sushi terbaik yang pernah saya coba..
nadia rencani,5 bulan lalu,
Reza,5 bulan lalu,"Tempatnya bagus, nyaman, makanannya enak"
Inge yunny astuti,5 bulan lalu,"Terima kasih pelayanan yang sangat baik, tempat makan yang suasananya menyenangkan dan makanan yang enak, selalu ada variasi makanan yang baru dan respon terhadap komplain yang sangat baik.."
Yogi Yustiana,5 bulan lalu,Sushi & salad salmonnya enak banget. Pake banget pokoknya. Pelayanan sat set & ramah. Tempat bersih. Kalo ke Jogja selalu mampir.
heri susanto,5 bulan lalu,"Bagus, enak"
tovo tour and travel (Rangkayo Sutan),5 bulan lalu,
Michael Sonny Suryawan,6 bulan lalu,
Riskita Raisa,6 bulan lalu,
Jessica Lintang,6 bulan lalu,
Ahmed Noer Kholish,6 bulan lalu,
Eduardo P,6 bulan lalu,"Pencahayaannya agak terlalu redup, tapi makanannya cukup enak. Sejujurnya saya terkejut betapa berbedanya kualitas daging sapi di cabang Bali dan di Jogja. Di Jogja daging sapinya terasa jauh lebih enak dibandingkan di Bali."
Nicko Bayu,6 bulan lalu,"Saya mendapat timbangan di mu sashimi. perut salmon yang tidak terlalu segar. dan mereka baru saja memotong tagihan saya yang setara dengan 2 harga sashimi? teman? atas pengalaman buruk yang kamu berikan padaku? aw deae, saya masih bisa membayar penuh. pengalaman? nahh. selalu periksa menumu ya"
Valen Wele,6 bulan lalu,
Faiz,6 bulan lalu,
Ahmad Hadi Suryawan (Lambo),6 bulan lalu,
Andri Chandrawira,6 bulan lalu,Saya sdh mulai bosan makan disini...
'azmiyatul 'arifati,6 bulan lalu,
agstin 30,6 bulan lalu,"Rasanya enak tempat nyaman pelayanan ramah sekali 🥰
Bonus birthday cake 😁 …"
NUSA JATI,6 bulan lalu,
andi norianto,6 bulan lalu,
nita ni,6 bulan lalu,
Kemala Hayati,6 bulan lalu,"Sushi terenak di Jogja, pelayanan dan fasilitas paling bagus."
ZoelfikarR,6 bulan lalu,
utami subowo dapurAmy,6 bulan lalu,
filomena tunjung (bibikriuk),6 bulan lalu,Sushi tei adalah pilihan teraman untuk mencoba makanan Jepang bagi orang tua atau semua orang yang belum pernah mencoba makanan Jepang sebelumnya. …
J Pamungkas,6 bulan lalu,Tempat strategis suasana nyaman untuk anak anak dan menyediakan jalan bagi pengguna kursi roda
Adi Prakosa,6 bulan lalu,"Minusy cuma tempat parkir terbatas, walau bisa dibantu utk parkir di seberang."
S Harani,6 bulan lalu,
Linda Syahrial,6 bulan lalu,
Hara_Mano,6 bulan lalu,Sushi Tei dikenal sebagai rantai restoran sushi yang menawarkan beragam hidangan sushi dan masakan Jepang lainnya dengan kualitas yang baik. Banyak pelanggan menghargai variasi menu yang luas dan suasana yang nyaman di restoran tersebut. …
Tarista Sutanti,6 bulan lalu,"Kunjungan saya ke Sushi Tei sungguh memuaskan! Dengan harga promo sebesar 125/pack, saya menemukan bahwa nilai yang saya dapatkan sangat sepadan. Porsi sushi yang disajikan sangatlah besar dan segar, dengan variasi menu yang cukup beragam. …"
Arai Arai,6 bulan lalu,Selalu enak
Andian Ari Anggraeni,6 bulan lalu,
Leonardus Glodion,6 bulan lalu,
Ir4 Wbw,6 bulan lalu,segar
Margareta Anindias,6 bulan lalu,AC-nya agak panas di belakang huhuuu.. tapi kalau dirasa kepanasan tanya lagi
Nadia Muna Salma,6 bulan lalu,"Pelayanannya ramah banget, pesenannya jugaa cukup cepet datengnya, rasa makanannya jelas enak sih. Tempatnya cocok buat ramean atau sendiri jg masih oke."
Marten Budisusetia,6 bulan lalu,
Vonny Candra,6 bulan lalu,"Shishamo karage nya ngga enak, pait dan ikan yang agak gemuk malah tulang tengah nya agak keras. Warna punggung ikan shishamo nya HITAM, bukan yang cerah. Kalo menu yang lainnya enak. 🍣🥢 …"
erliana narinda sari,6 bulan lalu,
Dwi Hesti akmaliza,6 bulan lalu,
Eddy Christianto,6 bulan lalu,Shushi nya uenaak mendekati rasa yg asli......Jepang
untoro prayogi,6 bulan lalu,
Ela Septin,6 bulan lalu,"Menunya enak-enak. Pelayanannya cekatan sat set dan ramah-ramah , suasana restonya juga nyaman, kami sekeluarga terbilang lumayan sering makan malam ke sini"
Resty Leny,6 bulan lalu,Tempat nyaman . Sushi selalu segar dan paling aku suka pasti shasiminya 🥰 …
Clarisza Isabel A.,6 bulan lalu,
Langgeng Arie,6 bulan lalu,Tempat nyaman ...makanan enak
Audya Intan,6 bulan lalu,
Jia,7 bulan lalu,"Belum nemu sushi enak di Jogja selain Sutei. Biasa kalau pengen banget kesana, kalau masih bisa ditahan pasti nunggu promo sih heheheh. Sering-sering promo ya pak bu owner 🙏 …"
azhar anas,7 bulan lalu,
Goblin Duha,7 bulan lalu,
Ferina Effendi (Ferina Wirawan),7 bulan lalu,"Sushi tei pertama di Jogja, parkir luas, pelayanan ramah, security juga sigap membantu. Luas, ada 2/3 lantai. Kualitas makanan baik, lumayan sering promo."
Jeff Paulm,7 bulan lalu,Tempat yang bagus untuk sushi dan sashimi
Nia,7 bulan lalu,
Yetri Kt,7 bulan lalu,Memuaskan
Nashir S,7 bulan lalu,
Al Fakir,7 bulan lalu,Tempat makanan Jepang yg nyaman dengan pelayanan yg baik.
James Embongbulan,7 bulan lalu,Anak-anak menikmati sushi
Yopie Setiawan,7 bulan lalu,
Rachel Dwiananda P,7 bulan lalu,
Iwan Krisbowo,7 bulan lalu,
kartika usmanali,7 bulan lalu,Ikannya kurang segar
sukidah amd,7 bulan lalu,Semua makanannya enaaaakkkk.... Sesuai dengan harga yang harus dibayarkan
Karissa Hnv,7 bulan lalu,Baked salmon di sini beda bgt m yg d amplaz.udh berulang kali pesen yg d sni slalu beda.kurg padet .gak rapih .jauh sama yg d amplaz.rasa pun beda pdhl satu cabang kan ya.g ngerti knp beda rasa.sedihbbgt..untuk tempat oke tpi untuk makanan kurg oke.bisa d liat sushi tei amplaz sangat perfect 😭❤️ …
Mirna,7 bulan lalu,"Yaa tidak perlu di tanya lg yaa soal pelayanan disni. Security pun peduli dan meminta maaf jika salah.. Salutt sih management disini.
Semua nya ramah dan satset. …"
Foury Aradhana Ritonga,7 bulan lalu,
Bagus Hand Pray,7 bulan lalu,
R. Brahma Aditya,7 bulan lalu,
Kholif Mamuunun,7 bulan lalu,
ikha nurdiniawati,7 bulan lalu,
Damar n The Flock,7 bulan lalu,"Pelayanan baik, cepat tanggap. Waiting time great! Datang di awal resto buka, ada bbrp menu yg belum/tdk ready. Lumayan pricey tp worth it."
Arum Safitri,7 bulan lalu,"Enak, fresh juga..
Anakku suka..
Tapi untuk harga lumayan... …"
Sh Tobing,7 bulan lalu,Besar...
Lothar albert Cristian Hutapea,7 bulan lalu,Muantulll
Yustica Soetipto,7 bulan lalu,"Resto favorit ibuku.
Penjaga keamanan memperlakukan pelanggan senior dengan perlakuan baik hati.
Saya menyukainya dan terima kasih banyak!"
Asya Kir,7 bulan lalu,
Awan Istyastono,7 bulan lalu,
bestina rustami,7 bulan lalu,
Rizka,7 bulan lalu,
Lila Sanggita,7 bulan lalu,
Rangga Prasetya Aji Prabowo,7 bulan lalu,
Arsyparass,7 bulan lalu,
fajar purnomo,7 bulan lalu,
Oki Wahyu,7 bulan lalu,
Agus Kristiawan,7 bulan lalu,"Tempatnya nyaman, rasa nya mantap..👍 …"
Intan Kusuma Wulandari,8 bulan lalu,Cukup tenang. Suka dengan dagingnya yang segar. Tapi biasanya tempatnya ramai dan aku masuk waiting list hehe. Saya akan merekomendasikan Salmon Sashimi.
Ani Fathudin,8 bulan lalu,"sy mengantar tamu, makan malam"
Tom Gembuz,8 bulan lalu,Kalo driver gak boleh nunggu didalam .kasih driver kasir diluar.jangan ngambil nota didalm terus suruh nunggu diluar.emang driver kesitu kagak mbayar.contoh hokben.mcdy.kfc.lebih menghargai driver online daripada resto anda
Jatmiko,8 bulan lalu,Suasananya cozy dan makanannya enak
Marmut Rampage,8 bulan lalu,Best sushi in town!!! Wajib cobain salmon kazan sushi!!! Jo unagi juga!!!
frito marcevianto,8 bulan lalu,
Ms Choco,8 bulan lalu,"Ramah, service excellent
Waiting list nya enggk terlalu lama, makanannya enak"
Tatiana Almond,8 bulan lalu,Makanannya tidak segar.
Axel T.,8 bulan lalu,Teman-teman premium...
Griselda Malora,8 bulan lalu,Sushi tei memang selalu enak :)
Kania Rahmawati G,8 bulan lalu,
Joe G M,8 bulan lalu,
Delta Setiyarini,8 bulan lalu,"Mantapss banget pokoknya makan disini. Sashiminya kerasa banget segernya.
Pas kesana pas ada momen yang ultah dan dapet gift sushi ada lilinnya lucu banget hihihiw"
Tane Hadiyantono,8 bulan lalu,
Dwi Nica Wicakso,8 bulan lalu,
Anastasia Stella,8 bulan lalu,
revalian raditya,8 bulan lalu,
Eko Hartono,8 bulan lalu,
Yohana Putri,8 bulan lalu,
Agata,8 bulan lalu,
Joko Prihatin,8 bulan lalu,
anang atmojo,8 bulan lalu,Ughhh
Ujang Zakaria,8 bulan lalu,Layanannya luarbiasa...masakannya enak bagi yg suka....harganya bintang 5
Anon Bob,8 bulan lalu,Kualitas sushi sangat buruk dan sepertinya terlalu mahal untuk rasanya. Terlalu banyak mayo dan ikan hambar. Sushi yang dibeli dari mal setempat akan terasa lebih enak dari ini.
Lyra Reffalia Ratna k.,8 bulan lalu,enak mantap sedap
Mukmin Arissanto,8 bulan lalu,Tolong buat manajer sushi tei jalan afandi Yogyakarta untuk orderan online tolong di buatin dulu jangan nunggu driver datang kasihan Driver ya kalau dapatnya jauh makin lama ninggu orderanya makasih
Arif Kuncahya,8 bulan lalu,
Hanif Ahmad,8 bulan lalu,
Qowama Faza,8 bulan lalu,Rekomended pokok nya👍💯 …
Tyas Millati,8 bulan lalu,Anda tidak perlu pergi ke mal
Ajeng Kinasih,8 bulan lalu,Anda pergi ke tempat sushi di kota - jika Anda memiliki anggaran (tidak terlalu ekonomis untuk makanan sehari-hari). Layanannya luar biasa - setelah saya memesan makanan untuk dibawa pulang dan sayangnya kualitasnya di bawah standar hari …
Yana Oktaviana,8 bulan lalu,"sushi tei emang the best place to eat sushi. gausah diaraguin lagi lengkap bgt dari appetizer, nigiri, sashimi, sushi roll, sampe dessert pun ada. appetizer aku coba miso soup sama tamagoyaki nya yang enak bgttt manis creamy. tapi untuk …"
ika kusuma,8 bulan lalu,
Josephinne Krisdiva,9 bulan lalu,
El Marco,9 bulan lalu,Enak joss mantap
idola hadi,9 bulan lalu,"Saya hanya bisa makan sushi di sini, tidak ada tempat yang terasa lebih enak"
Lucia A.,9 bulan lalu,"Pertama kali mencoba ke sushi tei.

Makanan: …"
RIZA ALIFTA RINI,9 bulan lalu,
Rosalia Diana Vicky Maharani,9 bulan lalu,
Bale Tentram Homestay,9 bulan lalu,Yummy bangettt
한재빈,9 bulan lalu,
